date,vaccine,total_vaccinations,location
2021-06-09,Oxford/AstraZeneca,620457,Czechia
2021-06-09,Pfizer/BioNTech,5017257,Czechia
2021-06-10,Pfizer/BioNTech,5114767,Czechia
2021-06-10,Oxford/AstraZeneca,631285,Czechia
2021-06-10,Moderna,576495,Czechia
2021-06-10,Johnson&Johnson,64348,Czechia
2021-06-11,Johnson&Johnson,67480,Czechia
2021-06-11,Moderna,585442,Czechia
2021-06-11,Oxford/AstraZeneca,639878,Czechia
2021-06-11,Pfizer/BioNTech,5212565,Czechia
2021-06-12,Johnson&Johnson,67575,Czechia
2021-06-12,Moderna,586386,Czechia
2021-06-12,Oxford/AstraZeneca,641241,Czechia
2021-06-12,Pfizer/BioNTech,5262719,Czechia
2021-06-13,Pfizer/BioNTech,5304359,Czechia
2021-06-13,Moderna,586781,Czechia
2021-06-13,Johnson&Johnson,67628,Czechia
2021-06-13,Oxford/AstraZeneca,641420,Czechia
2021-06-14,Johnson&Johnson,70003,Czechia
2021-06-14,Moderna,594926,Czechia
2021-06-14,Oxford/AstraZeneca,648905,Czechia
2021-06-14,Pfizer/BioNTech,5401146,Czechia
2021-06-15,Pfizer/BioNTech,5494245,Czechia
2021-06-15,Johnson&Johnson,72166,Czechia
2021-06-15,Moderna,605461,Czechia
2021-06-15,Oxford/AstraZeneca,657736,Czechia
2021-06-16,Pfizer/BioNTech,5591984,Czechia
2021-06-16,Oxford/AstraZeneca,666241,Czechia
2021-06-16,Moderna,614905,Czechia
2021-06-16,Johnson&Johnson,74686,Czechia
2021-06-17,Pfizer/BioNTech,5693820,Czechia
2021-06-17,Johnson&Johnson,76868,Czechia
2021-06-17,Moderna,622863,Czechia
2021-06-17,Oxford/AstraZeneca,674323,Czechia
2021-06-18,Moderna,630821,Czechia
2021-06-18,Oxford/AstraZeneca,680080,Czechia
2021-06-18,Johnson&Johnson,78907,Czechia
2021-06-18,Pfizer/BioNTech,5798671,Czechia
2021-06-19,Pfizer/BioNTech,5847721,Czechia
2021-06-19,Oxford/AstraZeneca,680687,Czechia
2021-06-19,Moderna,632016,Czechia
2021-06-19,Johnson&Johnson,78929,Czechia
2021-06-20,Johnson&Johnson,78967,Czechia
2021-06-20,Moderna,633308,Czechia
2021-06-20,Oxford/AstraZeneca,680782,Czechia
2021-06-20,Pfizer/BioNTech,5887339,Czechia
2021-06-21,Johnson&Johnson,80401,Czechia
2021-06-21,Moderna,642553,Czechia
